Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-09-18,1485.25,1489.75,1436.75,1468.5,513776,0,0
2000-09-25,1469.5,1481.0,1438.25,1454.0,449847,0,0
2000-10-02,1453.75,1474.0,1411.5,1426.25,462636,0,0
2000-10-09,1425.25,1426.75,1339.0,1386.25,502287,0,0
2000-10-16,1386.0,1422.0,1324.0,1411.0,457703,0,0
2000-10-23,1411.0,1428.75,1348.5,1401.0,494895,0,0
2000-10-30,1398.0,1445.5,1387.0,1436.75,428874,0,0
2000-11-06,1436.0,1455.0,1370.5,1372.25,410926,0,0
2000-11-13,1369.0,1404.5,1335.0,1370.5,583101,0,0
2000-11-20,1369.75,1373.5,1320.25,1346.5,266221,0,0
2000-11-27,1348.5,1367.75,1296.75,1320.75,506080,0,0
2000-12-04,1323.0,1384.25,1313.25,1353.25,306322,0,0
2000-12-11,1368.5,1392.0,1317.75,1332.0,108360,0,0
2000-12-18,1330.0,1366.75,1270.25,1327.25,451492,0,0
2000-12-25,1324.0,1356.5,1318.5,1327.0,217034,0,0
2001-01-01,1331.0,1380.0,1288.75,1304.0,451974,0,0
2001-01-08,1308.25,1344.75,1287.5,1330.0,572814,0,0
2001-01-15,1328.75,1371.75,1323.5,1348.5,454827,0,0
2001-01-22,1346.0,1379.0,1341.25,1363.25,551651,0,0
2001-01-29,1363.0,1394.0,1352.75,1353.25,515359,0,0
2001-02-05,1354.25,1370.5,1318.75,1321.0,482686,0,0
2001-02-12,1321.75,1342.0,1296.25,1305.0,562446,0,0
2001-02-19,1304.25,1311.5,1217.0,1247.5,564230,0,0
2001-02-26,1251.25,1277.0,1215.5,1234.0,711560,0,0
2001-03-05,1236.25,1270.5,1227.25,1231.75,386399,0,0
2001-03-12,1230.0,1233.25,1154.0,1169.75,160338,0,0
2001-03-19,1164.75,1193.25,1088.0,1153.25,810451,0,0
2001-03-26,1153.25,1194.5,1143.75,1174.0,673121,0,0
2001-04-02,1173.0,1178.75,1098.5,1140.5,861060,0,0
2001-04-09,1138.0,1194.0,1133.5,1192.25,672709,0,0
2001-04-16,1192.5,1268.0,1167.0,1251.5,768843,0,0
2001-04-23,1251.0,1259.75,1212.75,1258.0,657201,0,0
2001-04-30,1258.75,1278.25,1235.0,1272.75,735886,0,0
2001-05-07,1273.5,1277.0,1243.5,1251.75,624549,0,0
2001-05-14,1252.0,1299.5,1236.0,1295.75,628087,0,0
2001-05-21,1295.5,1319.25,1275.75,1279.5,596499,0,0
2001-05-28,1280.25,1283.5,1246.75,1265.0,499473,0,0
2001-06-04,1264.5,1288.5,1256.5,1268.75,397149,0,0
2001-06-11,1264.25,1267.0,1204.25,1207.5,157910,0,0
2001-06-18,1226.0,1249.25,1215.5,1235.0,753683,0,0
2001-06-25,1234.0,1245.5,1206.0,1237.75,687390,0,0
2001-07-02,1233.5,1248.25,1193.0,1193.5,314460,0,0
2001-07-09,1194.5,1225.75,1174.0,1225.0,769433,0,0
2001-07-16,1224.5,1231.5,1201.5,1214.75,765460,0,0
2001-07-23,1215.0,1223.5,1168.5,1210.0,770269,0,0
2001-07-30,1210.0,1234.25,1203.0,1219.75,656386,0,0
2001-08-06,1219.75,1221.0,1172.0,1191.25,741930,0,0
2001-08-13,1193.0,1202.75,1158.25,1166.0,775492,0,0
2001-08-20,1164.75,1189.0,1155.25,1187.5,787410,0,0
2001-08-27,1187.75,1192.0,1125.5,1138.5,773872,0,0
2001-09-03,1137.5,1158.5,1081.75,1083.25,878390,0,0
